"station","hour","inventory"
"20",18,3
"20",19,3
"20",20,3
"20",21,3
"20",22,3
"20",23,3
"21",0,20
"21",1,20
"21",2,24
"21",3,3
"21",4,0
"21",5,12
"21",6,0
"21",7,66
"21",8,139
"21",9,250
"21",10,350
"21",11,393
"21",12,195
"21",13,92
"21",14,0
"21",15,50
"21",16,0
"21",17,0
"21",18,0
"21",19,19
"21",20,30
"21",21,30
"21",22,32
"21",23,32
"22",0,6
"22",1,6
"22",2,7
"22",3,29
"22",4,28
"22",5,52
"22",6,20
"22",7,99
"22",8,177
"22",9,223
"22",10,240
"22",11,267
"22",12,285
"22",13,250
"22",14,335
"22",15,300
"22",16,312
"22",17,340
"22",18,350
"22",19,287
"22",20,287
"22",21,264
"22",22,256
"22",23,256
"23",0,4
"23",1,25
"23",2,25
"23",3,41
"23",4,35
"23",5,42
"23",6,0
"23",7,54
"23",8,124
"23",9,105
"23",10,0
"23",11,0
"23",12,3
"23",13,9
"23",14,62
"23",15,35
"23",16,94
"23",17,130
"23",18,0
"23",19,23
"23",20,23
"23",21,24
"23",22,29
"23",23,29
"24",0,0
"24",1,0
"24",2,0
"24",3,0
"24",4,0
"24",5,0
"24",6,0
"24",7,0
"24",8,0
"24",9,8
"24",10,8
"24",11,8
"24",12,8
"24",13,8
"24",14,8
"24",15,8
"24",16,8
"24",17,8
"24",18,8
"24",19,8
"24",20,8
"24",21,8
"24",22,8
"24",23,8
"4",0,6
"4",1,6
"4",2,2
"4",3,0
"4",4,28
"4",5,65
"4",6,128
"4",7,178
"4",8,223
"4",9,237
"4",10,271
"4",11,289
"4",12,271
"4",13,273
"4",14,315
"4",15,302
"4",16,374
"4",17,472
"4",18,486
"4",19,478
"4",20,475
"4",21,471
"4",22,471
"4",23,471
"5",0,0
"5",1,0
"5",2,0
"5",3,0
"5",4,0
"5",5,18
"5",6,4
"5",7,81
"5",8,87
"5",9,11
"5",10,0
"5",11,0
"5",12,0
"5",13,0
"5",14,39
"5",15,36
"5",16,61
"5",17,118
"5",18,146
"5",19,117
"5",20,102
"5",21,112
"5",22,122
"5",23,123
"6",0,0
"6",1,0
"6",2,0
"6",3,0
"6",4,4
"6",5,9
"6",6,22
"6",7,87
"6",8,95
"6",9,138
"6",10,166
"6",11,179
"6",12,177
"6",13,188
"6",14,247
"6",15,251
"6",16,248
"6",17,270
"6",18,306
"6",19,311
"6",20,311
"6",21,311
"6",22,311
"6",23,311
"7",0,0
"7",1,0
"7",2,0
"7",3,0
"7",4,0
"7",5,22
"7",6,1
"7",7,0
"7",8,0
"7",9,0
"7",10,0
"7",11,9
"7",12,30
"7",13,51
"7",14,111
"7",15,124
"7",16,75
"7",17,0
"7",18,0
"7",19,0
"7",20,0
"7",21,0
"7",22,0
"7",23,0
"8",0,0
"8",1,0
"8",2,0
"8",3,0
"8",4,6
"8",5,2
"8",6,13
"8",7,51
"8",8,116
"8",9,143
"8",10,165
"8",11,169
"8",12,180
"8",13,180
"8",14,248
"8",15,263
"8",16,285
"8",17,284
"8",18,327
"8",19,324
"8",20,324
"8",21,324
"8",22,324
"8",23,324
"9",0,3
"9",1,0
"9",2,0
"9",3,0
"9",4,1
"9",5,3
"9",6,0
"9",7,29
"9",8,8
"9",9,5
"9",10,5
"9",11,11
"9",12,6
"9",13,3
"9",14,0
"9",15,1
"9",16,0
"9",17,0
"9",18,0
"9",19,3
"9",20,4
"9",21,4
"9",22,4
"9",23,4
