"station","hour","inventory"
"5",3,0
"5",4,0
"5",5,20
"5",6,25
"5",7,98
"5",8,96
"5",9,9
"5",10,0
"5",11,0
"5",12,0
"5",13,0
"5",14,37
"5",15,46
"5",16,77
"5",17,162
"5",18,194
"5",19,153
"5",20,143
"5",21,142
"5",22,150
"5",23,151
"6",0,0
"6",1,0
"6",2,0
"6",3,0
"6",4,4
"6",5,15
"6",6,29
"6",7,87
"6",8,95
"6",9,143
"6",10,166
"6",11,178
"6",12,176
"6",13,190
"6",14,249
"6",15,253
"6",16,252
"6",17,273
"6",18,290
"6",19,292
"6",20,292
"6",21,292
"6",22,292
"6",23,292
"7",0,5
"7",1,5
"7",2,2
"7",3,2
"7",4,2
"7",5,45
"7",6,31
"7",7,0
"7",8,0
"7",9,0
"7",10,0
"7",11,11
"7",12,34
"7",13,61
"7",14,123
"7",15,132
"7",16,98
"7",17,0
"7",18,0
"7",19,0
"7",20,0
"7",21,0
"7",22,0
"7",23,0
"8",0,0
"8",1,0
"8",2,0
"8",3,0
"8",4,13
"8",5,11
"8",6,20
"8",7,63
"8",8,132
"8",9,155
"8",10,171
"8",11,185
"8",12,201
"8",13,202
"8",14,251
"8",15,265
"8",16,280
"8",17,290
"8",18,340
"8",19,336
"8",20,336
"8",21,336
"8",22,336
"8",23,336
"9",0,3
"9",1,0
"9",2,0
"9",3,0
"9",4,8
"9",5,15
"9",6,0
"9",7,13
"9",8,5
"9",9,3
"9",10,8
"9",11,18
"9",12,15
"9",13,27
"9",14,0
"9",15,0
"9",16,0
"9",17,0
"9",18,0
"9",19,1
"9",20,5
"9",21,5
"9",22,5
"9",23,5
